"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"$I95CJEG"	""	"r"	""	"2025-12-02 20:29:51 IST"	"2025-12-02 20:29:51 IST"	"2025-12-02 20:29:51 IST"	"56"	"115"	"ebc2c7018121e8e0f04f880cff217ae8"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-1141245699-889175649-2273070713-1001/$I95CJEG"
"$ITJMPPU.bmp"	".bmp"	"r"	""	"2025-12-02 20:44:58 IST"	"2025-12-02 20:44:58 IST"	"2025-12-02 20:44:58 IST"	"120"	"118"	"fbfdd8781f138634b6844f33265f7035"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-1141245699-889175649-2273070713-1001/$ITJMPPU.bmp"
"$RTJMPPU.bmp"	".bmp"	"r"	""	"2025-12-02 20:44:50 IST"	"2025-12-02 20:44:41 IST"	"2025-12-02 20:44:41 IST"	"0"	"117"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-1141245699-889175649-2273070713-1001/$RTJMPPU.bmp"
"desktop.ini"	".ini"	"r"	""	"2025-12-02 20:29:51 IST"	"2025-11-29 15:13:55 IST"	"2025-11-29 15:13:55 IST"	"129"	"41"	"a526b9e7c716b3489d8cc062fbce4005"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-1141245699-889175649-2273070713-1001/desktop.ini"
"$Secure:$SDS"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"266316"	"9"	"null"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$Secure:$SDS"
"$Secure:$SDS-slack"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"4020"	"9"	"null"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$Secure:$SDS-slack"
"$UpCase"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"131072"	"10"	"7ff498a44e45e77374cc7c962b1b92f2"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$UpCase"
"$UpCase:$Info"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"32"	"10"	"null"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$UpCase:$Info"
"$Volume"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"0"	"3"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_case3.E01/vol_vol2/$Volume"
".COMMIT_EDITMSG.swp"	".swp"	"r"	""	"2025-12-01 20:54:40 IST"	"2025-12-01 20:54:40 IST"	"2025-12-01 20:54:40 IST"	"4096"	"103"	"e373249d96b9796afa6b6398a7dcdde9"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/.COMMIT_EDITMSG.swp"
"COMMIT_EDITMSG"	""	"r"	""	"2025-12-01 20:54:42 IST"	"2025-12-01 15:14:46 IST"	"2025-12-01 20:54:39 IST"	"256"	"77"	"d6cf39c2dcc16fa57ff96a6bd1b1564e"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/COMMIT_EDITMSG"
"config"	""	"r"	""	"2025-12-01 21:23:07 IST"	"2025-12-01 21:23:07 IST"	"2025-12-01 21:23:07 IST"	"268"	"96"	"55cf0c2535f21e594671153b1133712d"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/config"
"description"	""	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"73"	"51"	"a0a7c3fff21f2aea3cfa1d0316dd816c"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/description"
"HEAD"	""	"r"	""	"2025-12-01 20:53:52 IST"	"2025-12-01 15:44:12 IST"	"2025-12-01 15:44:12 IST"	"21"	"95"	"cf7dd3ce51958c5f13fece957cc417fb"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/HEAD"
"applypatch-msg.sample"	".sample"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"478"	"53"	"ce562e08d8098926a3862fc6e7905199"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/applypatch-msg.sample"
"commit-msg.sample"	".sample"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"896"	"54"	"579a3c1e12a1e74a98169175fb913012"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/commit-msg.sample"
"commit-msg.sample-slack"	".sample-slack"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"3200"	"54"	"null"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/commit-msg.sample-slack"
"fsmonitor-watchman.sample"	".sample"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"4726"	"55"	"a0b2633a2c8e97501610bd3f73da66fc"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/fsmonitor-watchman.sample"
"fsmonitor-watchman.sample-slack"	".sample-slack"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"3466"	"55"	"null"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/fsmonitor-watchman.sample-slack"
"post-update.sample"	".sample"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"189"	"56"	"2b7ea5cee3c49ff53d41e00785eb974c"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/post-update.sample"
